"","healthy_store_market","borough","year","address","latitude","longitude","type"
"140","Soumandji Meat Fish Market","Bronx",2016,"381 East 169th Street",40.834317,-73.909953,"healhty store"
"141","Z&F Deli Grocery","Bronx",2016,"3321 Third Avenue",40.826215,-73.907857,"healhty store"
"142","Angelic Grocery and Deli Corp","Brooklyn",2016,"305 Jerome St",40.67425,-73.886974,"healhty store"
"143","Dama Food Market","Brooklyn",2016,"2303 Pitkin Avenue",40.673169,-73.887315,"healhty store"
"144","Danilo's Corp Deli Grocery","Brooklyn",2016,"731 Schenck Avenue",40.662374,-73.884828,"healhty store"
"145","George Deli & Grocery","Brooklyn",2016,"710 Georgia Avenue",40.659602,-73.893566,"healhty store"
"146","JLC Deli Grocery","Brooklyn",2016,"653 Liberty Avenue",40.676038,-73.885551,"healhty store"
"147","Melissa Meat Market","Brooklyn",2016,"772 Sutter Avenue",40.670122,-73.890085,"healhty store"
"148","Quezada Deli Grocery","Brooklyn",2016,"570 Van Siclen Avenue",40.66582,-73.888567,"healhty store"
"149","Sajoma Deli Grocery","Brooklyn",2016,"772 Miller Avenue",40.661971,-73.887788,"healhty store"
"150","VA Grocery & Deli Corp  
(Brother's Mini Market)","Brooklyn",2016,"207 Hull Street",40.679876,-73.908009,"healhty store"
"151","Wild Olive Market","Manhattan",2016,"10 East 125th Street",40.806215,-73.941807,"healhty store"
"152","Juan Calito Meat Corp./City Fresh","Manhattan",2016,"2212 3rd Avenue",40.80083,-73.937926,"healhty store"
"153","Prince Deli Grocery","Manhattan",2016,"1461 5th Avenue",40.80211,-73.945394,"healhty store"
"154","TSM 2ND Ave Gourmet Deli","Manhattan",2016,"248 East 119th street",40.799408,-73.937479,"healhty store"
"155","Fine Fare Supermarket","Manhattan",2016,"2330 1st Avenue",40.798278,-73.933731,"healhty store"
"156","Abdur Sami","Manhattan",2016,"2262 2nd Avenue",40.797155,-73.937651,"healhty store"
"157","Mis Hijos","Manhattan",2016,"2401 2nd Avenue",40.801484,-73.934425,"healhty store"
"158","Oasis Gourmet Deli","Manhattan",2016,"1966 Madison Avenue",40.806313,-73.94024,"healhty store"
"159","Tasty Pick Deli & Grocery","Manhattan",2016,"1878 Lexington Avenue",40.799256,-73.941171,"healhty store"
"160","K&O Deli Grocery","Manhattan",2016,"2288 2nd Avenue",40.797964,-73.937061,"healhty store"
"161","Finest Food Corp","Manhattan",2016,"315 Pleasant Avenue",40.795599,-73.932769,"healhty store"
"162","2001 GOURMET DELI","Bronx",2017,"2001 CLINTON AVE",40.846375,-73.888858,"healhty store"
"163","347 CHABELY DELI GROCERY","Bronx",2017,"347 E 173RD ST",40.84345,-73.905202,"healhty store"
"164","AMIGOS GROCERY","Bronx",2017,"551 EAST 172ND ST",40.839504,-73.899545,"healhty store"
"165","FELINO GROCERY","Bronx",2017,"1836 ANTHONY AVE",40.847412,-73.903704,"healhty store"
"166","FELOMAR GROCERY STORE","Bronx",2017,"154 E 175TH ST",40.846798,-73.908111,"healhty store"
"167","HABIBI DELI","Bronx",2017,"2070 CLINTON AVE",40.847236,-73.888101,"healhty store"
"168","LOS PALMARITOS DELI GROCERY","Bronx",2017,"2080 VALENTINE AVE",40.852753,-73.899897,"healhty store"
"169","PAULINO GROCERY","Bronx",2017,"4378 3RD AVE",40.850821,-73.893958,"healhty store"
"170","SAER & JAMAL MARKET 2","Bronx",2017,"563 E TREMONT AVE",40.846509,-73.894814,"healhty store"
"171","305 GROCERY DELI","Bronx",2017,"305 EAST 181ST ST",40.854045,-73.899172,"healhty store"
"172","551 REY FOOD","Bronx",2017,"551 E 178TH ST",40.847528,-73.894599,"healhty store"
"173","ALANTE ALANTE DELI GROCERY","Bronx",2017,"207 MT HOPE PL",40.848385,-73.905951,"healhty store"
"174","BANESA DELI GROCERY 2","Bronx",2017,"2007 ANTHONY AVE",40.851468,-73.902885,"healhty store"
"175","BODEGA BUILT","Bronx",2017,"601 EAST 180TH STREET",40.849394,-73.891375,"healhty store"
"176","CHICKEN DELI GROCERY","Bronx",2017,"555 EAST 180TH ST",40.850351,-73.893326,"healhty store"
"177","ZAEL DELI & GROCERY","Bronx",2017,"2160 TIEBOUT AVE",40.854091,-73.898554,"healhty store"
"178","FINE FARE SUPERMARKET","Bronx",2017,"708 E TREMONT AVE",40.845227,-73.890771,"healhty store"
"179","269 MINI MARKET & DELI","Bronx",2017,"269 E BURNSIDE AVE",40.851333,-73.902133,"healhty store"
"180","JR 2121 DELI GROCERY","Bronx",2017,"2121 BELMONT AVE",40.849172,-73.889446,"healhty store"
"181","LA ANTILLANA MEAT WAREHOUSE","Bronx",2017,"245 E TREMONT AVE",40.848922,-73.904407,"healhty store"
"182","OJ DELI GROCERY","Bronx",2017,"230 E 174TH ST",40.84472,-73.907427,"healhty store"
"183","LA BODEGUITA DE ROSAURA","Bronx",2017,"160 E 174TH ST",40.844817,-73.909238,"healhty store"
"184","EXPRESS MARKET","Bronx",2017,"469 E TREMONT AVE",40.847075,-73.898247,"healhty store"
"185","3 Sisters Deli Grocery","Brooklyn",2017,"269 Dumont Ave",40.664065,-73.909566,"healhty store"
"186","702 Livonia Ave Deli","Brooklyn",2017,"702 Rockaway Ave",40.662769,-73.908984,"healhty store"
"187","Chester Food Market","Brooklyn",2017,"241 Blake Ave",40.665518,-73.910487,"healhty store"
"188","MJT Grocery Store","Brooklyn",2017,"666 Rockaway Ave",40.663255,-73.909106,"healhty store"
"189","Blessings Food Corp.","Brooklyn",2017,"578 Rockaway Ave",40.665951,-73.909795,"healhty store"
"190","Rockaway Deli Food Corp.","Brooklyn",2017,"674 Rockaway Ave",40.663148,-73.909077,"healhty store"
"191","El Especial Deli & Gril","Brooklyn",2017,"774 Rockaway Ave",40.66071,-73.908457,"healhty store"
"192","Friendly Food & Grocery","Brooklyn",2017,"784 Saratoga Ave",40.661305,-73.91542,"healhty store"
"193","Sanaa Express Grocery","Brooklyn",2017,"245 Riverdale Ave",40.661129,-73.907812,"healhty store"
"194","Cherry Valley","Brooklyn",2017,"381 Mother Gaston Blvd",40.669745,-73.906859,"healhty store"
"195","Jamao Grocery","Brooklyn",2017,"174 Blake Ave",40.665097,-73.913206,"healhty store"
"196","Los Primos Grocery","Brooklyn",2017,"57 Sutter Ave",40.665613,-73.920587,"healhty store"
"197","39 Lott Grocery","Brooklyn",2017,"39 Lott Ave",40.657233,-73.912564,"healhty store"
"198","51 Deli & Grocery NYC","Brooklyn",2017,"51 Hegeman Ave",40.655828,-73.910331,"healhty store"
"199","77 Hegeman Mini Market","Brooklyn",2017,"77 Hegeman Ave",40.655981,-73.909322,"healhty store"
"200","Glen Deli & Grocery","Brooklyn",2017,"55 Hegeman Ave",40.655883,-73.909981,"healhty store"
"201","Associated supermarket","Brooklyn",2017,"103 Hegeman Ave",40.656153,-73.908172,"healhty store"
"202","Hidayat Deli Grocery","Brooklyn",2017,"1111 Rutland Rd",40.664805,-73.923119,"healhty store"
"203","T&L Deli & Grocery","Brooklyn",2017,"1067 Rutland Rd",40.663944,-73.924439,"healhty store"
"204","Bravo Supermarket","Brooklyn",2017,"80 E 93Rd St",40.662455,-73.926964,"healhty store"
"205","Associated Supermarket","Brooklyn",2017,"190 E 98th St",40.66264,-73.92032,"healhty store"
"206","Boston MiniMarket","Brooklyn",2017,"9424 Kings Highway",40.658474,-73.920581,"healhty store"
"207","Clarkson Food","Brooklyn",2017,"1125 Clarkson Ave",40.660467,-73.92113,"healhty store"
"208","New Way Supermarket","Brooklyn",2017,"1167 Lenox Rd",40.659951,-73.917592,"healhty store"
"209","Star Two Deli","Brooklyn",2017,"994 Winthrop St",40.659738,-73.926577,"healhty store"
"210","Ameer Food Market","Brooklyn",2017,"9527 Church Ave",40.655331,-73.916044,"healhty store"
"211","El Flaco Food","Brooklyn",2017,"1093 Linden Blvd",40.654327,-73.917775,"healhty store"
"212","La Linda Deli Grocery","Brooklyn",2017,"1157 Willmohr St",40.658163,-73.915979,"healhty store"
